歌名,歌手,語言,音圓代號,金嗓代號,弘音代號,集數,備註
● 周杰倫 梭 霍元甲 國 3618 ● 國光幫 梭 幫幫忙 國,,Unknown,50132,,,1133,
● 周杰倫 梭 飄移 國,,Unknown,50066,,,1136,
● 周蕙 華爾滋 發現 國 4949 ● 庾澄慶 梭 4944 樂園 國 ●,,Unknown,50058,,,1126,
● 四面楚歌 國 周杰倫 梭,,Unknown,50150,,,1140,
● 夜已那麼深 國 賈靜雯 梭 5911 ● S.H.E 迪斯可 美麗新世界 國 3876 ●,,Unknown,50154,,,1140,
● 奔 國 孫燕姿 梭,,Unknown,50089,,,1138,
● 完美主義 國 周杰倫 梭,,Unknown,50032,,,1136,
● 布拉格廣場 國 蔡依林 梭,,Unknown,50035,,,1139,
● 張宇 梭 大丈夫 國,,Unknown,50005,,,1139,
● 張韶涵 梭 吶喊 國,,Unknown,50081,,,1133,
● 惡男宅急電 國 范逸臣 梭 5922 ●,,Unknown,50030,,,1139,
● 我需要刺激 國 于珊珊 吉力巴 5964 ●,,Unknown,50342,,,1138,
● 手太小 國 林曉培 梭,,Unknown,50146,,,1139,
● 本草綱目 國 周杰倫 梭,,Unknown,50054,,,1126,
● 林子良 梭 5960 忘不了妳 國 ●,,Unknown,50162,,,1140,
● 正面衝突 國 李亞明 梭 4954 ●,,Unknown,50061,,,1126,
● 溫嵐 梭,,Unknown,50037,,,1136,
● 王心凌 梭 失戀歌迷黨 國,,Unknown,50016,,,1128,
● 王美蓮 梭 3050 脫軌演出 國 ● 脫離軌道 國 吳宗憲 梭 3347 ●,,Unknown,50073,,,1136,
● 留戀 國 陳思安 恰恰,,Unknown,50167,,,1132,
● 紅模仿 國 周杰倫 梭,,Unknown,50051,,,1135,
● 紅豆少女組 梭,,Unknown,50159,,,1133,
● 羅志祥 梭 咕嚕雞 國 5910 ●,,Unknown,50164,,,1139,
● 若羚 梭 5933 無風無雨 國 ●,,Unknown,50064,,,1127,
● 蔡依林 梭,,Unknown,50163,,,1140,
● 蔡依林 梭 騎士精神 國,,Unknown,50000,,,1139,
● 蜜雪薇琪 梭 Alright 國 3798 ●,,Unknown,19416,,,1109,
● 訊號 國 郭嘉璐 梭 5919 ●,,Unknown,50142,,,1132,
● 跟著我 國 溫嵐 梭,,Unknown,50007,,,1140,
● 迷迭香 國 周杰倫 恰恰,,Unknown,50044,,,1136,
● 野孩子 國 S.B.D.W 梭,,Unknown,50024,,,1138,
● 陳奕迅 梭 愛是懷疑 國,,Unknown,50344,,,1140,
● 電燈泡 國 康康/吳宗憲 倫巴 3592 ●,,Unknown,50039,,,1138,
● 高勝美 梭 5963 多麼好!我的心上人 國 ● 一個像夏天一個像秋天 國 范瑋琪 梭,,Unknown,50334,,,1138,
● 龍拳 國 周杰倫 梭,,Unknown,50040,,,1132,
一世人來還,,客語,203332,,,1356,
一世情,莊淑君 勃露斯,台語,6808,,,1131,
一世的愛,,華語,203269,,,1354,
一人我飲酒醉 House ★ 豆包,,華語,602258,,,3003,
一個人,,華語,602516,,,3006,
一個人,張秀卿,台語,6354,,,1012,
一個人也罷,,華語,602252,,,3003,
一個人就好,,華語,602414,,,3005,
一個人挺好,,華語,602208,,,5311,
一個人的咖啡,,華語,202472,,,1323,
一個人的回憶裡,,華語,603322,,,3016,
一個人的心事,,華語,603010,,,3012,
一個人的時候,,華語,603192,,,3017,
一個人的精彩,,華語,200813,,,1339,
一個你兩個你三 Fanfan 個你,,華語,602601,,,3004,
一公尺,言承旭,國語,3748,,,1104,
一切從簡,,華語,603407,,,3019,
一切成敗掌手中,,客語,202893,,,1337,
一切隨風去,,華語,203043,,,1345,
一別兩寬,,華語,602328,,,3003,
一千步的距離,,華語,603147,,,3019,
一千零一個夜晚,,華語,603004,,,3012,
一千零一夜,蜜雪薇琪 勃露斯,國語,3952,,,1121,
一卡手戒,,台語,202227,,,1316,
一句愛你買多少,,華語,202396,,,1321,
一吻天涯,,華語,202106,,,1343,
一城山水,,華語,602228,,,3003,
一場大夢一場空,,華語,602907,,,3010,
一場相遇一生回憶,,華語,602991,,,3012,
一場雨,,華語,602750,,,3008,
一夜長大,梁靜茹,國語,3718,,,1105,
一夢好多年,,華語,602273,,,3003,
一天一點愛戀 國 ●,,Unknown,50144,,,1139,
一字一句,,華語,602274,,,3002,
一定是你不好,,華語,602908,,,3010,
一定會贏,七郎,台語,6577,,,1015,
一定要堅強,,客語,23267,,,5101,
一寸光陰一寸金,,客語,23418,,,5101,
一展愁眉,,客語,203326,,,1356,
一廂情願,堂娜,國語,3757,,,1104,
一張信一朵花,周雅芳,台語,6602,,,1016,
一心等待你,,客語,23266,,,5101,
一念之差（DJ沈念版）,,華語,603365,,,3019,
一念成魔,,華語,602253,,,3003,
一念破,,華語,602909,,,3010,
一念花開一念落,,華語,602640,,,3007,
一情雨夢,,華語,602325,,,3004,
一手捧杯啊,高子洋 梭,台語,6564,,,1107,
一把傘,183Club 梭,國語,3956,,,1123,
一日情,楊小萍,台語,6574,,,1015,
一日無見三日愁,,客語,23366,,,5101,
一時失敗唔使驚,,客語,23367,,,5101,
一暝花香,,台語,202756,,,1333,
一曲相思,,台語,201731,,,1350,
一杯,,台語,203110,,,1347,
一杯美酒,Cha Cha,台語,6580,,,1015,
一杯離人淚 Hip-Hop 安揚.蘇星婕,,華語,603658,,,3025,
一杯黑咖啡,,台語,202587,,,1328,
一枝草一點露 探戈 利用人如欲使用本產品於「公開場所」使用，請逕洽集管團體或,,華語,203266,,,1354,
一枝草一點露,,客語,23344,,,5101,
一根香煙半瓶酒,,華語,603774,,,3025,
一樣米養百樣人,劉福助,台語,6684,,,1102,
一次就好,,Unknown,,,,,
一次離別,,華語,602292,,,3003,
一步一腳印,蔡秋鳳,台語,6575,,,1015,
一步步靠近你,,台語,203367,,,1356,
一段情緣,,台語,202199,,,1314,
一段過往一段傷,,華語,602751,,,3008,
一片空白,,台語,200769,,,1332,
一生情,,客語,23186,,,5101,
一生愛你千百回,梅艷芳,國語,3716,,,1104,
一生痴戀,談芳兵 勃露斯,國語,3913,,,0003,
一生輸給一個人,,華語,602405,,,3003,
一生難忘,,台語,203252,,,1352,
一生鬥陣行,吳上明.一綾,台語,6282,,,1014,
一盞的明燈,,台語,202953,,,1339,
一直在等你回頭,,華語,200814,,,1339,
一秒鐘,,華語,602932,,,3011,
一程傷悲,,華語,602987,,,3012,
一種愛,,台語,200819,,,1342,
一笑了之,女孩,華語,602988,,,3012,
一紙離愁 一個人的未完待續,,華語,603525,,,3020,
一級棒,高子洋 梭,國語,3636,,,1110,
一花一世界,,華語,603359,,,3020,
一萬個藉口,,華語,603332,,,3019,
一萬滴淚滴,,台語,202594,,,1328,
一萬種如果,,華語,200697,,,1319,
一蕊雲,,台語,203150,,,1347,
一見傾心 如果最後我們不能在一起,,華語,603385,,,3018,
一起淋雨那幾年,,華語,602839,,,3009,
一起闖蕩,,華語,603659,,,3025,
一路向北,周杰倫 勃露斯,國語,3043,,,1124,
一路孤獨,法璦,國語,3650,,,1103,
一路高飛,,台語,200893,,,1348,
一輩子的愛,,華語,200687,,,1318,
一輪明月,,華語,603441,,,3018,
一追再追,永邦 勃露斯,國語,3627,,,1112,
一錯再錯,,華語,603369,,,3021,
一鍵還原,,華語,603406,,,3018,
一開始說陪你到老 韓小欠 的人現在他還在嗎,,華語,602221,,,3002,
一隻白鴿,小辣椒 勃露斯,國語,3401,,,1109,
一領鴛鴦被,,台語,202720,,,1332,
一首情歌,,客語,23256,,,5101,
一路上,,客語,23152,,,5101,
一切付流水,,客語,23322,,,5101,
丁字路口請轉彎,,華語,603779,,,3024,
丁達爾效應,,華語,602441,,,3005,
七年之癢,,華語,602364,,,3005,
七月的傷,,華語,603308,,,3019,
七股海邊的女人,,華語,202367,,,1320,
七逃人的心聲,良一 特魯多,台語,6844,,,1122,
七里香,周杰倫 勃露斯,國語,3027,,,1129,
三國,,華語,200857,,,1335,
三字經一句話,黃三元 恰恰,台語,6724,,,1113,
三年感情,,華語,201777,,,1318,
三更,,台語,202525,,,1326,
三月清風吹,,國語,603396,,,3018,
三秒鐘,陳慧琳 勃露斯,國語,3953,,,1124,
三行情書,,華語,602229,,,3003,
三貂嶺戀情,,華語,202387,,,1321; 1327; 1327,
三點四分五十二秒,,華語,602423,,,3005,
上崎唔得半崎坐,,客語,23371,,,5101,
上美的春天,陳雷.楊靜 梭,台語,6880,,,1119,
下一個,,華語,603350,,,3022,
下一次哭,,華語,603139,,,3015,
下一秒,,華語,602351,,,3005,
下墜,,華語,602569,,,3006,
下山,,華語,602214,,,3002,
下沙,游鴻明 勃露斯,國語,3831,,,1123,
下輩子別再讓我遇見你(DJ浩然版) Techno 侯澤潤 ★,,華語,603060,,,3013,
下輩子活成想要,,華語,602814,,,3009,
下輩子還要和你 小高哥 成個家,,華語,602697,,,3007,
不作歹命子 慢迪斯可 歌曲 ◆ 田易佳,,台語,202503,,,1325,
不做你共同好友,,華語,602425,,,3005,
不公平,Jenny Yang 勃露斯,國語,3857,,,1114,
不再碰感情,,華語,602849,,,3009,
不再等候的姑娘,,華語,603353,,,3016,
不再等待天堂,曾淑勤 梭,國語,3930,,,1118,
不准哭,同恩 勃露斯,國語,4039,,,1115,
不及,,華語,602266,,,3006,
不可抗力,,華語,602506,,,3001,
不哭,林曉培 勃露斯,國語,4565,,,1120,
不回頭不挽留,,華語,602845,,,3009,
不夠勇敢,VJ 勃露斯,國語,3916,,,1123,
不如,,華語,602216,,,3001,
不如不見,,華語,602518,,,3004,
不如死在二十那年 House 王佳音,,華語,603592,,,3023,
不安,,華語,602294,,,3004,
不富也鎮宅 梭 ★ 洛先生,,華語,603057,,,3013,
不就,,華語,603429,,,3021,
不強求不挽留,,華語,602446,,,3001,
不得不愛,潘瑋柏.弦子 勃露斯,國語,4040,,,1120,
不必在乎我是誰,林憶蓮 勃露斯,國語,3800,,,1111,
不忍心開口說,,華語,602596,,,3006,
不忘,,台語,202466,,,1323,
不怕不怕,美美 迪斯可,國語,4038,,,1111,
不想,,華語,602342,,,3002,
不想回家,,華語,603227,,,3019,
不想想太多,蘇慧倫 勃露斯,國語,4065,,,1114,
不想要了,,華語,603002,,,3012,
不想說太多,,華語,603314,,,3017,
不愛你了,李玟 勃露斯,國語,3833,,,1121,
不愛又何必糾纏 Hip-Hop ★ 易自豪,,華語,602354,,,3005,
不愛我就別傷害 葉筱萱.亞喃 我,,華語,602249,,,3003,
不愛我就直說,,華語,602326,,,3002,
不打擾 中板靈魂樂 ★ 夏婉安,,華語,603110,,,3014,
不搖晃,,華語,603568,,,3021,
不敢,,華語,603180,,,3019,
不敢愛你,,華語,602420,,,3005,
不敢提及,,華語,603867,,,3024,
不敢期望,,華語,603295,,,3021,
不是不想,,台語,201033,,,1344,
不是你不夠好,,華語,602848,,,3009,
不是所有人都會值得等,,華語,603117,,,3015,
不是非愛不可,,華語,603297,,,3017,
不歸人,,客語,200760,,,1328,
不為人知,,華語,602580,,,3002,
不然你要我怎麼樣,陳奕迅 梭,國語,3917,,,1117,
不甘,,華語,602377,,,3002,
不甘心,,華語,603517,,,3016,
不用抱歉,,華語,602699,,,3007,
不當爛好人 秋天的紅葉不過冬,,華語,603591,,,3024,
不眠不歸,,華語,602609,,,3006,
不知,,華語,603593,,,3023,
不知所措,,華語,602201,,,3001,
不破不立,,台語,202928,,,1338,
不等閒,,華語,602838,,,3009,
不管,,國語,202231,,,1315,
不經意的風,,華語,602846,,,3009,
不能停止愛你,東方快車 華爾滋,國語,3973,,,1120,
不能停止的思念 搖滾 歌曲,,國語,202724,,,1332,
不能再等待,陳奕迅 勃露斯,國語,3962,,,1118,
不能開口的愛,,華語,602847,,,3009,
不脫長衫,,華語,603061,,,3013,
不被愛的天空下起了大雪 House 向思思,,華語,603590,,,3023,
不被認可的花,,華語,602966,,,3011,
不要以為,,台語,201398,,,1315,
不要再試探,,華語,603031,,,3013,
不要對我說,,華語,202107,,,1343,
不要忘記我愛你,,華語,602445,,,3005,
不要打電話給我 梭 ★ 寂悸,,華語,602585,,,3004,
不要煩惱,,華語,200775,,,1333,
不要跌倒,,華語,603368,,,3017,
不要輕易說 Bye Bye,江淑娜 勃露斯,國語,3932,,,1118,
不見,楊丞琳 梭,國語,4090,,,1114,
不記得,,華語,603201,,,3018,
不該為你動了情,,華語,603062,,,3013,
不該相遇在秋天,,台語,202108,,,1344,
不該（DJ德鵬版）,,華語,602844,,,3009,
不認識你就好了,,華語,602447,,,3005,
不說,,華語,603144,,,3017,
不識好歹,,華語,602344,,,3004,
不過人間,,華語,602192,,,5311,
不過是你,,華語,602922,,,3011,
不遺憾了吧 抒情搖滾 ★ 林澤勳,,華語,602994,,,3012,
不配懷念,,華語,602234,,,3002,
不錯過,,華語,603108,,,3014,
不願放開你的手,羅時豐,台語,6273,,,1014,
不顧一切,張惠妹 梭,國語,3801,,,1110,
世上無非兩件事,,華語,603638,,,3023,
世態炎涼,,華語,602277,,,3004,
世界以痛吻我,,華語,603067,,,3014,
世界這麼大還是遇,,華語,603339,,,3017,
世界阿數瑟,,華語,603564,,,3019,
世間人心太假,,華語,602722,,,3007,
世間後生人,,客語,23282,,,5101,
中你一槍,,華語,602314,,,3002,
中原崇正客家心,,客語,202899,,,1337,
中國人,劉德華,國語,3555,,,1017,
中場時間,I.n.g 勃露斯,國語,4566,,,1121,
中意你,,華語,602448,,,3001,
中秋月圓,,華語,203242,,,1354,
中秋月圓時,蘇錦煌/鄭如涵 特魯多,台語,6982,,,0004,
中華民國新希望,,客語,202894,,,1337,
乎你全世界 因為愛你所以嫁給你,,華語,203186,,,1349,
乎我卡多,陳秀玲 吉力巴,台語,6726,,,1108,
乖不乖,楊丞琳,國語,3540,,,1017,
乞丐,,華語,602588,,,3006,
也不是我願意,林俊彥 梭,台語,6525,,,1108,
也算是奇蹟,蘇芮 吉力巴,國語,4960,,,1126,
也許,,華語,603097,,,3014,
也許你們,,華語,603927,,,3027,
也許我不該 Hip-Hop 浩然 H.R,,華語,603656,,,3025,
乾啦,甘奇靈 恰恰,台語,6754,,,1130,
乾杯,康康 洛克,國語,5434,,,1125,
亂世遊,,華語,603489,,,3019,
了結,,華語,603942,,,3027,
五十年以後,,華語,602178,,,5311,
五月十三彼下埔 特魯多 高敏裕,,台語,203111,,,1347,
五月的雪,游鴻明 勃露斯,國語,4850,,,1124,
五月雪,,客語,202911,,,1338,
五甲媽,,台語,203123,,,1346,
交情,,客語,23121,,,5101,
京城雪,,華語,602614,,,3006,
人世一遊,,華語,603633,,,3025,
人作野狗,,華語,603904,,,3027,
人到老來真冇通,,客語,23401,,,5101,
人心,,客語,23115,,,5101,
人情世故,,客語,23202,,,5101,
人有志氣唔怕窮,,客語,23400,,,5101,
人朝裡擁抱(DJ版),,華語,602553,,,3006,
人比人氣死人,黃三元 恰恰,台語,6769,,,1116,
人生on line,,台語,202971,,,1340,
人生一場夢,,客語,23276,,,5101,
人生一棚戲,,客語,202890,,,1336,
人生七十,,台語,203082,,,1345,
人生以北,,華語,603480,,,3019,
人生光明路,,客語,23277,,,5101,
人生劇場,王智君,台語,6686,,,0002,
人生在世交朋友,,客語,23368,,,5101,
人生在世善為先,,客語,23369,,,5101,
人生太荒唐,,華語,602946,,,3011,
人生好滋味,,客語,202879,,,1336,
人生如歌,,華語,602397,,,3001,
人生旅途,,台語,202456,,,1323,
人生歸途,,國語,603552,,,3018,
人生渺渺茫,,客語,23323,,,5101,
人生的旅途,葉啟田,台語,6581,,,1015,
人生的月台,,台語,202760,,,1334,
人生的道場,,華語,602696,,,3007,
人生相逢,,台語,201796,,,1339,
人生舞台,,客語,23253,,,5101,
人生親像一齣戲,成威 梭,台語,6723,,,1113,
人生路,陳盈潔 梭,台語,6774,,,1130,
人生這條路,,華語,203195,,,1351,
人的這一生,,華語,602248,,,3002,
人見人愛,,華語,200695,,,1320,
人質,張惠妹 勃露斯,國語,5768,,,1109,
人間,,華語,603440,,,3022,
人間四月天,,華語,603247,,,3019,
人間有你,,台語,603522,,,3021,
人間有福報,,客語,23278,,,5101,
人間煙火,,華語,603401,,,3022,
人間的晚風,,華語,602442,,,3001,
人間長河,,客語,203347,,,1356,
人面桃花,鄧麗君 勃露斯,國語,5954,,,1129,
什麼是幸福快樂,,華語,203027,,,1343,
什麼樣的愛,蔡依林,國語,3719,,,1103,
什麼破歌,,華語,603063,,,3013,
今仔日的恰恰 恰恰 幸雅 ◆,,華語,202327,,,1319,
今夜,,台語,203126,,,1347,
今夜不想你,,華語,202991,,,1345,
今夜山風吹心房,江蕙 吉力巴,台語,6857,,,1108,
今夜我無法去入睡 搖滾 ★,,華語,602639,,,3007,
今夜我要為我哮,周雅芳,台語,6287,,,1014,
今夜的 Party,白冰冰,台語,6356,,,1012,
今夜的風,,台語,603200,,,3018,
今天有雨,,台語,202530,,,1326,
今生不能再重來,,華語,602524,,,3004,
今生今世尚愛你,,華語,202947,,,1339,
今生唯一的愛,,華語,202597,,,1328,
今生圓滿 中板靈魂樂 何仟仟,,台語,603607,,,3024,
今生尚水的伴 類型,,客語,202690,,,1331,
今生的依偎,,台語,202590,,,1328,
今生的最愛,類型 恰恰 ◆ 張漢朝 ◆ 羅聰,華語,202922,,,1337,
今生的選擇 探戈 李明洋,,台語,203155,,,1348,
今生緣,,客語,23153,,,5101,
今生緣今世情,,華語,202392,,,1323,
今生錯過你,,華語,200710,,,1323,
他不知道,,華語,602619,,,3002,
他他他,,華語,602452,,,3005,
他剛好寂寞,,華語,602949,,,3011,
他和她的故事,蕭亞軒,國語,3512,,,1013,
他把我刪了,,華語,602819,,,3009,
他明明,,華語,603008,,,3012,
他沒有錯,范瑋琪 勃露斯,國語,4021,,,1128,
他知道,,華語,602998,,,3012,
他要去保護別的,,華語,602989,,,3012,
他鄉的風吹啊吹,,華語,603874,,,3024,
付出不一定能收回,,台語,200864,,,1332,
仙人掌,若羚 迪斯可,國語,5932,,,1126,
仙想嘛想無,,台語,203004,,,1341,
仙道風骨,,台語,603555,,,3018,
代名詞,,華語,602404,,,3001,
代替,,華語,603116,,,3015,
代謝,,華語,603865,,,3023,
以後嫁的他,,華語,602752,,,3008,
仲夏之夢,蘇玉貝 Swing,國語,3519,,,1013,
任憑我,,華語,603047,,,3013,
伊人未歸,,華語,602910,,,3010,
伴,羅時豐 勃露斯,台語,6900,,,1130,
伴你過一生,詹曼鈴 探戈,台語,6821,,,0004,
似幻如夢的愛,,台語,202795,,,1334,
但願人長久,鄧麗君 勃露斯,國語,3595,,,1114,
低估,,華語,602330,,,3003,
住進我心裡的那,,華語,200729,,,1326,
何必假裝(DJ阿鵬版),,華語,602676,,,3007,
何必心肝凝,七郎,台語,6468,,,1014,
何必擱再越頭,張秀卿 勃露斯,台語,6670,,,1113,
何時會凍再相逢 倫巴 佩諭,,台語,203016,,,1347,
何罪之有,,華語,602860,,,3009,
何處覓歸人,,華語,603928,,,3027,
作罷,,華語,602707,,,3007,
作陣走,勃露斯,台語,6834,,,1122,
你一定記得,,華語,603626,,,3023,
你不在,王力宏,國語,3672,,,1017,
你不要回頭,,華語,603059,,,3013,
你不該輕視我,江蕙 勃露斯,台語,6947,,,1137,
你並不需要我愛你,,華語,603035,,,3013,
你乎我感動的每一天,王中平.徐芷頎 勃露斯,台語,6835,,,1119,
你也知道我,,華語,603324,,,3021,
你予我,,華語,602677,,,3007,
你住的城市不下雪,,華語,603208,,,3015,
你你你,,華語,603547,,,3017,
你你我我,,客語,200776,,,1333,
你來過我心裡,,華語,603313,,,3016,
你係心中最愛,,客語,23421,,,5101,
你偷走了我的心,,台語,201656,,,1314,
你像花,,華語,603336,,,3021,
你別著急 先愛自己,,華語,603075,,,3014,
你别太犟,,華語,603623,,,3025,
你到底有沒有認真愛過我 抒情搖滾 魚兒七,,華語,603806,,,3025,
你剛分手 Hip-Hop 程響,,華語,603450,,,3017,
你千萬別像風,,華語,602459,,,3005,
你喜歡我的歌嗎,張清芳 勃露斯,國語,3986,,,1117,
你在我夢裡的樣子,楊昕曦 勃露斯,國語,4961,,,1126,
你就是方向,,台語,202569,,,1327,
你就要幸福,黃乙玲 華爾滋,台語,6957,,,1119,
你帶我看的海 中板靈魂樂 範茹,,華語,603624,,,3025,
你幸福我快樂,,華語,200679,,,1317,
你很好很好,,華語,603897,,,3027,
你很愛他,F.I.R 勃露斯,國語,3946,,,1124,
你從前方來,崔苔菁 恰恰,國語,3861,,,1128,
你從未懂我,,華語,602406,,,3001,
你忘了跟我說再見 國 ●,,Unknown,50111,,,1132,
你怨誰人,,客語,23258,,,5101,
你我來相挺,,華語,202938,,,1337,
你我的恰恰 恰恰 賴進財.陳貴花,,台語,203181,,,1348,
你我的故事,甄秀珍,國語,3525,,,1013,
你把我灌醉,黃大煒,國語,3820,,,1106,
你敢不敢像我一樣,,華語,603688,,,3024,
你敢知人奈位痛,,客語,202895,,,1337,
你是你我是我,迪克牛仔 勃露斯,國語,4948,,,1129,
你是我尚深的記憶,,客語,202688,,,1331,
你是我心中的痛,,華語,203044,,,1345,
你是我生命中的水,,台語,66249,,,3022,
你是我的唯一 梭 ◆ 龍哥,,台語,203022,,,1342,
你是我的夢,,國語,603214,,,3018,
你是我的泊岸,王識賢 華爾滋,台語,6904,,,1119,
你是我藏在九月的喜歡 抒情搖滾 承桓,,華語,603831,,,3025,
你是無情的人,袁小迪,台語,6379,,,1012,
你是風阮是雲 中板靈魂樂 王中平,,台語,203042,,,1344,
你正經盼得分來失望,,客語,23443,,,5101,
你永遠不要告訴我,潘麗鈞 探戈,國語,5965,,,1138,
你照樣快樂,,華語,602334,,,3004,
你甘知,,台語,202487,,,1324,
你用什麼感動我的心,陳艾湄,國語,3705,,,1018,
你的,,台語,200768,,,1332,
你的世界已萬人擁擠,,華語,603675,,,3025,
你的名字 抒情搖滾 總裁,,華語,603537,,,3019,
你的名字十一筆,,華語,602624,,,3005,
你的好運就要來啦,,華語,602930,,,3011,
你的婚禮,,華語,602879,,,3010,
你的影子,,華語,602421,,,3005,
你的心,,台語,201792,,,1327,
你的歌聲風中飛來,,台語,202845,,,1336,
你的答案,阿冗,Unknown,,,,,
你的萬水千山,,華語,602195,,,3001,
你的電話,藍心湄.脫拉庫,國語,3673,,,1017,
你看一晃又一秋,,華語,603011,,,3012,
你看啊,,華語,603935,,,3027,
你看那遠山,,華語,603625,,,3025,
